Quarter,Year,Theme,Q,CompositeLabel,Domain,Headline,Detail,ConnectedDomains
FY26 Q1,FY26,Foundations,1,[FY26][Foundations][Q1],Your Digital Workplace,"Indemnity Tracker Tool, Contract Risk Tool, CV Uploader Tool","Indemnity Tracker Tool, Contract Risk Tool, CV Uploader Tool",
FY26 Q2,FY26,Foundations,2,[FY26][Foundations][Q2],Your Digital Workplace," Responsible Business Framework Tool, Pricing Tool "," Responsible Business Framework Tool, Pricing Tool",
FY26 Q3,FY26,Foundations,3,[FY26][Foundations][Q3],Your Digital Workplace,"AI Skills Mastery Roll-Out, Gov Tenders Tracker","AI Skills Mastery Roll-Out, Gov Tenders Tracker",
FY26 Q4,FY26,Foundations,4,[FY26][Foundations][Q4],Your Digital Workplace,"Employee Background Screening Tool, OPUS UX Redesign","Employee Background Screening Tool, OPUS UX Redesign",
FY27 Q1,FY27,Integrations,1,[FY27][Integrations][Q1],Your Digital Workplace,"Auto-Document Processing with/for AI","Auto-Document Processing with/for AI",
FY27 Q2,FY27,Integrations,2,[FY27][Integrations][Q2],Your Digital Workplace,"AI Agent Builds for LBI, AI Agent Builds for Bid Centre","AI Agent Builds for LBI, AI Agent Builds for Bid Centre",
FY27 Q3,FY27,Integrations,3,[FY27][Integrations][Q3],Your Digital Workplace,"(Potential Directions), CRM, or Personna Data Build, or OPUS v3","(Potential Directions), CRM, or Personna Data Build, or OPUS v3",
FY27 Q4,FY27,Integrations,4,[FY27][Integrations][Q4],Your Digital Workplace,"(Potential Directions), CRM, or Personna Data Build, or OPUS v3","(Potential Directions), CRM, or Personna Data Build, or OPUS v3",
FY28 Q1,FY28,Automations,1,[FY28][Automations][Q1],Your Digital Workplace,"Power Platform & Lighthouse, Ecosystem Enhancements","Power Platform & Lighthouse, Ecosystem Enhancements",
FY28 Q2,FY28,Automations,2,[FY28][Automations][Q2],Your Digital Workplace,"Power Platform & Lighthouse, Ecosystem Enhancements","Power Platform & Lighthouse, Ecosystem Enhancements",
FY28 Q3,FY28,Automations,3,[FY28][Automations][Q3],Your Digital Workplace,"Power Platform & Lighthouse, Ecosystem Enhancements","Power Platform & Lighthouse, Ecosystem Enhancements",
FY28 Q4,FY28,Automations,4,[FY28][Automations][Q4],Your Digital Workplace,"Power Platform & Lighthouse, Ecosystem Enhancements","Power Platform & Lighthouse, Ecosystem Enhancements",
FY26 Q1,FY26,Foundations,1,[FY26][Foundations][Q1],Baringa Enablement Assist,"Enable Launch for TeCy, ITSM, ITKM","Enable Launch for TeCy, ITSM, ITKM",
FY26 Q2,FY26,Foundations,2,[FY26][Foundations][Q2],Baringa Enablement Assist,"ServiceNow Agile 2.0 Module, ITAM","ServiceNow Agile 2.0 Module, ITAM",
FY26 Q3,FY26,Foundations,3,[FY26][Foundations][Q3],Baringa Enablement Assist,"Enable for Workplace (Dev), ServiceNow Portfolio Mgt Module","Enable for Workplace (Dev), ServiceNow Portfolio Mgt Module",
FY26 Q4,FY26,Foundations,4,[FY26][Foundations][Q4],Baringa Enablement Assist,"Enable for Workplace (Live), Enable for Finance Ops (Dev)","Enable for Workplace (Live), Enable for Finance Ops (Dev)",
FY27 Q1,FY27,Integrations,1,[FY27][Integrations][Q1],Baringa Enablement Assist,"Enable for Finance Ops (Live), Enable Mobile App","Enable for Finance Ops (Live), Enable Mobile App",
FY27 Q2,FY27,Integrations,2,[FY27][Integrations][Q2],Baringa Enablement Assist,Enable for HR Operations (Dev),Enable for HR Operations (Dev),
FY27 Q3,FY27,Integrations,3,[FY27][Integrations][Q3],Baringa Enablement Assist,"Enable for HR Operations (Dev), NowAssist (Dev)","Enable for HR Operations (Dev), NowAssist (Dev)",
FY27 Q4,FY27,Integrations,4,[FY27][Integrations][Q4],Baringa Enablement Assist,"Enable for HR Operations (Live), NowAssist (live), Connections & Automations","Enable for HR Operations (Live), NowAssist (live), Connections & Automations",
FY28 Q1,FY28,Automations,1,[FY28][Automations][Q1],Baringa Enablement Assist,"(Potential), Enable for Legal, or Enable for Sustainability, xBE Processes, Automations","(Potential), Enable for Legal, or Enable for Sustainability, xBE Processes, Automations",
FY28 Q2,FY28,Automations,2,[FY28][Automations][Q2],Baringa Enablement Assist,"(Potential), Enable for Legal, or Enable for Sustainability, xBE Processes, Automations","(Potential), Enable for Legal, or Enable for Sustainability, xBE Processes, Automations",
FY28 Q3,FY28,Automations,3,[FY28][Automations][Q3],Baringa Enablement Assist,"xBE Processes, Automations","xBE Processes, Automations",
FY28 Q4,FY28,Automations,4,[FY28][Automations][Q4],Baringa Enablement Assist,"xBE Processes, Automations","xBE Processes, Automations",
FY26 Q1,FY26,Foundations,1,[FY26][Foundations][Q1],Our Data,Microsoft Fabric Research, Microsoft Fabric Research,
FY26 Q2,FY26,Foundations,2,[FY26][Foundations][Q2],Our Data,Microsoft Fabric Research, Microsoft Fabric Research,
FY26 Q3,FY26,Foundations,3,[FY26][Foundations][Q3],Our Data,"Marketing cNPS v1, FDW Rebuild For FinRep","Marketing cNPS v1, FDW Rebuild For FinRep",
FY26 Q4,FY26,Foundations,4,[FY26][Foundations][Q4],Our Data,Carbon Data Ledger v1 (Build),Carbon Data Ledger v1 (Build),
FY27 Q1,FY27,Integrations,1,[FY27][Integrations][Q1],Our Data,Carbon Data Ledger v1 (Live),Carbon Data Ledger v1 (Live),
FY27 Q2,FY27,Integrations,2,[FY27][Integrations][Q2],Our Data,Data Marketplace v1 (Live),Data Marketplace v1 (Live),
